序号,区县名称,街道名称,社区名称,类别名,名称（全称）,地址（详细到门牌号）,邮政编码,联系电话,服务项目,服务时间
111,西城区,广安门外街道,鸭子桥社区,超市,白诚心超市,鸭子桥路41号,100055,52694019,购物,9:00-22:00
112,西城区,广安门外街道,鸭子桥社区,超市,华润万家超市,鸭子桥路4号楼底商,100055,63388603,购物,24小时
113,西城区,金融街街道,二龙路社区,超市,百盛地下超市,金融街37号,100032,66013377,食品、日用品,早7：30-晚22：00
114,西城区,金融街街道,二龙路社区,超市,好邻居二龙路店,二龙路41号,100032,66025993,食品、日用品,24小时
115,西城区,金融街街道,二龙路社区,超市,屈臣氏超市,复兴门内大街99号,100032,66062402,食品、日用品,早9：00-晚9：30
116,西城区,金融街街道,宏汇园社区,超市,世纪雪松超市,宏汇园18号楼,100032,66138914,日用百货,每天
117,西城区,金融街街道,中央音乐学院社区,超市,中央音乐学院社区超市,鲍家街43号新4楼D001,100031,66425683,食品、生活用品,全天
118,西城区,金融街街道,受水河社区,超市,福旺旺便民超市,头发胡同7号,100031,,方便居民买食品,每天
119,西城区,金融街街道,京畿道社区,超市,万博伊家超市,京畿道小区1号楼地下室,100032,66019763,食品、日用品,早9-晚9
120,西城区,金融街街道,京畿道社区,超市,好邻居超市,辟才胡同44号,100032,,食品、日用品,24小时
121,西城区,金融街街道,京畿道社区,超市,好邻居超市,复内大街45号,100032,,食品、日用品,24小时
122,西城区,牛街街道,白广路社区,超市,老白广路商场,白广路大街17号,100053,13701204203,商场、超市,周一至周日
123,西城区,牛街街道,牛街东里社区,超市,菜批超市,凌云居底商（菜市口小批发市场一层）,100053,83518066,超市,8:00-24:00
124,西城区,牛街街道,牛街西里一区社区,超市,北京牛街清真超市有限公司,牛街5号,100053,63555326,,
125,西城区,牛街街道,牛街西里一区社区,超市,北京华普超市,广内大街306号,100053,83520088,,
126,西城区,牛街街道,菜园北里社区,超市,物美超市南线阁店,南线阁39号院底商,100053,63540951,蔬菜、水果、粮油、日用品,每天
127,西城区,什刹海街道,西四北社区,超市,物美小超市,西黄北街2号,100034,6613.8271,便民服务,全日制
128,西城区,什刹海街道,西安门社区,超市,美廉美西安门超市,西安门大街197号,100034,66161456,,8：00-20：00
129,西城区,什刹海街道,西什库社区,超市,顺天府超市,西什库大街31号,100034,13301209621,出售各类商品,全年
130,西城区,什刹海街道,爱民街社区,超市,好邻居超市,西什库大街24号,100034,,生活日用品，食品,每天
131,西城区,什刹海街道,米粮库社区,超市,超市发地安门店,地安门西大街12号,100009,84042471,日用百货,7：00-21：00
132,西城区,什刹海街道,米粮库社区,超市,seveneleven超市,地安门西大街甲6号,100009,,日用百货,7：00-21：00
133,西城区,什刹海街道,后海西沿社区,超市,好邻居,德内大街6号,100009,,零售食品,24小时
134,西城区,什刹海街道,鼓西社区,超市,好邻居超市,鼓西大街207号,100009,84027173,百货食品,24小时无休息
135,西城区,什刹海街道,鼓西社区,超市,美乐嘻超市,鼓西大街216号,100009,64026034,百货食品,25小时无休息
136,西城区,什刹海街道,大红罗社区,超市,家园超市,大红罗厂街8号,,66114562,便民购物,全天
137,西城区,什刹海街道,兴华社区,超市,超市发便利店,地安门西大街123号,100009,,食品、饮料、小百货,周一到周日
138,西城区,什刹海街道,前海东沿社区,超市,北京华普联合投资公司,北京市西城区地外大街31号,100009,64065235,销售食品、烟、酒、百货、蔬菜、海鲜等,9:00—21:00
139,西城区,什刹海街道,前海东沿社区,超市,北京港佳好邻居连锁,北京市西城区地外大街19号,100009,64019770,销售食品、烟、酒,24小时营业
140,西城区,什刹海街道,松树街社区,超市,北京港佳好邻居连锁便利店有限责任公司德内大街分店,德内大街232号,100035,83229427,商业零售,全天
141,西城区,什刹海街道,松树街社区,超市,北京通华德泰商贸有限责任公司,弘善胡同1号,100009,66116615,商业零售,全天
142,西城区,陶然亭街道,红土店社区,超市,五谷超市,红土店南里8号楼前,100054,,日用商品,
143,西城区,陶然亭街道,黑窑厂社区,超市,华强超市,西城区陶然亭路41号,100052,63522658,副食、食品、百货、日配、日杂,早7:30至晚9:00
144,西城区,陶然亭街道,黑窑厂社区,超市,广联超市,西城区四平园小区1号楼B1楼,100052,83558467,日用品、食品,早7:30至晚9:00
145,西城区,陶然亭街道,新兴里社区,超市,迪亚天天,南华里10号楼,100052,,日用百货、食品销售,8：00-22：00
146,西城区,陶然亭街道,福州馆社区,超市,华润万家超市,南横东街3-3,100052,51250948,日用品、食品零售,周一至周日
147,西城区,陶然亭街道,福州馆社区,超市,韵竹园超市,虎坊路19号院12-7,100052,51253396,日用品、食品、蔬菜零售,周一至周日
148,西城区,天桥街道,香厂路社区,超市,京客隆超市,仁寿路5号,100050,63038176,买生活及日常用品,早8点至晚10点
149,西城区,天桥街道,先农坛社区,超市,玉超华祥超市,南纬路4号,100050,,为社区居民提供购买服务,8:30——22：00
150,西城区,天桥街道,永安路社区,超市,虎坊桥牛街清真超市,虎坊路大街甲2号,100050,63042031,鱼、肉、果蔬、副食类,早8:30-晚8:00
151,西城区,天桥街道,天桥小区社区,超市,好邻居超市,永安路32号,100050,83133390,,24小时
152,西城区,天桥街道,留学路社区,超市,六六顺超市,西城区留学路2号,100050,63035470,零售日用百货、粮油米面及小食品,每天7：00—23:00
153,西城区,天桥街道,天桥社区,超市,华强超市,虎坊路大街10号,100050,63030491,销售,9:00-9:00
154,西城区,西长安街街道,南北长街社区,超市,快客超市,北长街127,100031,,,24小时
155,西城区,西长安街街道,和平门社区,超市,物美超市,西绒线胡同甲八号地下室,100031,66049514,销售日常生活用品,早8:00-晚22:00
156,西城区,西长安街街道,义达里社区,超市,快客超市,羊皮市80号,100034,,日常和生活用品供应,24小时
157,西城区,西长安街街道,义达里社区,超市,好邻居超市,西四南大街号111号,100034,,日常和生活用品供应,24小时
158,西城区,西长安街街道,西交民巷社区,超市,24小时店,北新华街88号,100031,,,24小时
159,西城区,西长安街街道,西交民巷社区,超市,物美小超市,前门西大街57号,100031,,,24小时
160,西城区,西长安街街道,西黄城根南街社区,超市,物美超市便利店,西黄城根南街一区9号楼一层,100032,66050166,,
161,西城区,西长安街街道,西黄城根南街社区,超市,好邻居超市便利店,灵境胡同1号楼一层,100032,66025428,,
162,西城区,新街口街道,前公用社区,超市,新街口商场,新街口南大街7号,,,,9点30分至21点
163,西城区,新街口街道,冠英园社区,超市,好邻居超市,西直门内大街132号,100035,66537124,便民超市,全天
164,西城区,新街口街道,西里二区社区,超市,诺洁超市,西里一区6号楼底商13号,100035,18913022434,日用生活用品,每周一到日白天
165,西城区,新街口街道,南小街社区,超市,顺天府超市,西直门南小街国英1号,100035,58561347,,全天
166,西城区,新街口街道,玉桃园社区,超市,桃园鑫雨平价超市,西直门内前桃园胡同甲1号,100035,62255937,零售超市,日间供应
167,西城区,新街口街道,玉桃园社区,超市,利来客超市,西直门内桦皮厂3号,100035,15321035761,零售超市,日间供应
168,西城区,新街口街道,育德社区,超市,家合美汇超市,赵登禹路62号,100035,66117225,食品零售,8：00——21:00
169,西城区,新街口街道,西里四社区,超市,平价超市,如意里12号楼601号,100035,,为居民提供购物服务,早7点---晚10点
170,西城区,新街口街道,西里一社区,超市,物美大卖场,新北大街1号,,82224825,销售生活日用品,
171,西城区,新街口街道,安平巷社区,超市,西客隆超市,阜内大街,100034,13141151920,商品零售,周一至周日
172,西城区,新街口街道,西四北三条社区,超市,好邻居,赵登禹路148号,100034,66531521,商品零售、公交IC卡充值,24小时
173,西城区,新街口街道,大觉社区,超市,超市,大觉胡同31号,100035,66250473,超市,"早8：30-11：00
晚2：00-14：00"
174,西城区,新街口街道,西四北头条社区,超市,福绥园,阜内大街135号,100034,66119540,便民超市,9:00—:20:00
175,西城区,新街口街道,西四北头条社区,超市,迪亚天天,赵登禹路180号,100034,,便民超市,8:30—20:30
176,西城区,新街口街道,西四北头条社区,超市,快客,阜内大街63号,100034,66161545,便民超市,24小时
177,西城区,新街口街道,西四北头条社区,超市,快客,西四北大街189号,100034,66150460,便民超市,24小时
178,西城区,月坛街道,三里河一区社区,超市,美廉美商业连锁有限公司,三里河一区5-6,100045,,超市,白天
179,西城区,月坛街道,月坛社区,超市,好邻居超市,月坛西街东里8号楼一层、月坛南街11号楼一层,100045,68024193,便民超市,24小时
180,西城区,月坛街道,三里河三区社区,超市,两地情超市,复外大街23楼后,100045,68528417,,早7:00至晚24:00
181,西城区,月坛街道,三里河三区社区,超市,天客隆超市,月坛南街32号,100045,68522553,,早8:30至晚9:00
182,西城区,月坛街道,三里河三区社区,超市,万方西单商场,月坛南街32号,100045,68596161,,早8:30至晚9:00
183,西城区,月坛街道,三里河三区社区,超市,好邻居超市,复外大街25楼下,100045,68520277,,全天24小时
184,西城区,月坛街道,铁二、二社区,超市,长安商场地下超市、爱旺力超市,复兴门外大街15号、二七剧场路19号地下,100045,68048229,,
185,西城区,月坛街道,社会路社区,超市,好邻居,月坛南街37-5,100045,68040260,日用品、食品,全年
186,西城区,月坛街道,公安社区,超市,公安大学超市,北京市西城区木樨地南里甲28号楼,100038,83903155,居民日常用品,
187,西城区,月坛街道,复北社区,超市,昌昌便民菜市,复北院内,100045,68019636,日用百货,全年
188,西城区,月坛街道,二炮社区,超市,红黄蓝便民服务网点,复外大街甲7号院,100045,66337684,方便群众的生活,
189,西城区,月坛街道,白云观社区,超市,好邻居超市、天海晴超市,白云观街北里2号楼底商、白云观街北里1号楼底商,100045,,,8:00-12:0024小时
190,西城区,月坛街道,复外社区,超市,世纪华联超市,复兴门外大街6号楼地下室,100045,68013085,,
191,西城区,月坛街道,木樨地社区,超市,华宇之星超市,木樨地北里丙4号楼下,100038,,社区居民购物,周一到周日
192,西城区,月坛街道,广一社区,超市,天客隆,真武庙二条真武家园1号楼地下,100045,6803.5305,各类商品销售,长期
193,房山区,周口店镇,金巢社区,超市,金巢社区恒发超超市,金巢公司一区,102451,69301948,超市,"周一至周五8:00-11:30,13:30-17:00"
194,房山区,周口店镇,长矿社区,超市,矿家超市,长沟峪煤矿东门,102451,,零售,9:00-22:00
195,房山区,周口店镇,周口店社区,超市,华美超市,周口店南山路口,102405,69301366,出售生活用品,8:00-21:00
196,房山区,长阳镇,碧波园社区,超市,华冠超市23分店,碧波园社区2号楼底商,102445,80356253,日用百货,早8点至晚9点
197,房山区,长阳镇,碧桂园社区,超市,北京子健利民百货商店,碧桂园A区4号楼03号,102445,80391345,零售日用百货、服装、鞋帽,7:30-21:00
198,房山区,长阳镇,碧桂园社区,超市,北京世纪福购物中心,碧桂园A区4号楼4单元102,102445,80391236,销售日用百货,7:30-21:00
199,房山区,长阳镇,碧桂园社区,超市,北京浩客达商贸中心,碧桂园A区4号楼5单元101,102445,80391143,销售日用百货,7:30-21:00
200,房山区,长阳镇,碧桂园社区,超市,北京兴客隆超市,碧桂园A区1号楼03号,102445,80392524,销售定型包装食品、日用品、蔬菜水果,7:30-22:00
201,房山区,长阳镇,碧桂园社区,超市,北京万发嘉豪副食商店,碧桂园A区1号楼4单元102,102445,57121902,销售定型包装食品、日用品、卷烟、雪茄烟,8:00-22:00
202,房山区,长阳镇,碧桂园社区,超市,北京洪来京超市,碧桂园A区8号楼2单元101,102445,51135129,销售日用百货,7:00-22:00
203,房山区,长阳镇,加州水郡东区社区,超市,让利郡客社区超市,加州水郡东区商业楼A座,,,日常生活用品零售,全天
204,房山区,长阳镇,长龙苑社区,超市,世纪家家福超市,大宁二路长龙苑小区大门东侧3号,102442,80363925,日用百货,
205,房山区,长阳镇,长龙苑社区,超市,利友超市,大宁二路长龙苑小区大门东侧4号,102442,80363925,日用百货,
206,房山区,长阳镇,长龙苑社区,超市,利凡烟酒,大宁二路长龙苑小区大门东侧2号,102442,80363925,烟酒,
207,房山区,东风街道,东风南里社区,超市,东风焱天顺超市,东风南里二巷,102502,80343995,商品零售,全天
208,房山区,东风街道,羊耳峪北里社区,超市,富天顺超市,羊北里社区5号楼西侧,102502,81302186,副食、百货零售,8:00-21:00
209,房山区,东风街道,羊二社区,超市,"羊耳峪阳光超市、
点点超市、华冠超市",羊耳峪西巷8号,102502,81344780/81339768,,
210,房山区,东风街道,羊一社区,超市,燕山桐腾源商店,羊耳峪里13号楼后,102501,,日用品销售,全年
211,房山区,阎村镇,桥梁厂社区,超市,华冠18分店,大件路1号院华冠,102400,89349793,超市服务,全天
212,房山区,西潞街道,北潞园社区,超市,华冠35店,北潞华1号楼,102488,89367807,,
213,房山区,西潞街道,北潞园社区,超市,点点超市,北潞华1号楼,102488,89361491,,
214,房山区,西潞街道,海逸半岛社区,超市,汇百顺百货商店,房山区西潞大街甲20号,102488,69379002,零售百货,
215,房山区,西潞街道,苏庄二里社区,超市,顺通源副食店,18-1-101底商,102488,13718900937,零售,
216,房山区,西潞街道,苏庄二里社区,超市,书平副食店,二里东区平房,102488,15801637377,零售,
217,房山区,西潞街道,苏庄二里社区,超市,北京市坤利食品商店,二里东区平房,102488,13391831690,零售,
218,房山区,西潞街道,苏庄三里社区,超市,点点超市,苏庄一里22号,102488,89368946,超市,8:00-21:00
219,房山区,西潞街道,苏庄三里社区,超市,华冠超市,苏庄一里19号楼,102488,61355402,超市,8:00-21:00
220,房山区,西潞街道,苏庄三里社区,超市,盛世烟酒,苏庄一里19-1-101号,102488,61355911,烟酒超市,7:15-21:00
221,房山区,西潞街道,苏庄三里社区,超市,家惠康超市,苏庄三里17-7-101、102,102488,13716201937,超市,6：30-22:00
222,房山区,西潞街道,苏庄三里社区,超市,传明顺达名烟名酒名茶,苏庄三里16-3-102,102488,13521316828,烟酒茶超市,7：00-22：00
223,房山区,西潞街道,苏庄三里社区,超市,诚彦隆名烟名酒,苏庄三里17-1-101,102488,89374088,烟酒超市,8：00-20：00
224,房山区,西潞街道,苏庄三里社区,超市,梦乐园文化用品,苏庄三里16-1-102,102488,13241886727,文化用品,8：00-20：00
225,房山区,西潞街道,苏庄三里社区,超市,华星英才文具商店,苏庄三里17-1-102,102488,13716161366,文具,6：30-21：00
226,房山区,西潞街道,苏庄三里社区,超市,京来顺超市,苏庄二里7-1-101,102488,89370425,百货超市,8：00-22：00
227,房山区,西潞街道,苏庄三里社区,超市,仁智商贸名酒城,苏庄一里20-2-102,102488,61355427,名酒超市,9：00-22：00
228,房山区,西潞街道,苏庄三里社区,超市,维康烟酒茶,苏庄一里20-8-102,102488,61355792,烟酒茶超市,7：30-22：30
229,房山区,西潞街道,苏庄三里社区,超市,五粮液专卖,苏庄一里22-1-101,102488,13371602743,五粮液超市,9：00-21：00
